text|date
Doña Ana County registers a 20 percent increase in cases this week. Not good. #StayHome #WearAMask #lascruces https://t.co/yNYHdgLRk4|2021-01-10 23:17:05
@able2uk Books have kept hubby and I sane through the long months of shielding and although at 73 we should be getting the vaccination soon we expect to #stayhome for several more months 💕📚🤞😎🤞📚💕|2021-01-10 23:16:07
"Day #365 of the #Pandemic:  Military deployed to California to assist hospitals with the sick and dying.

https://t.co/SBs5b9Ycpq

#Corona #Covid19 #coronavirus #WearAMask
 #StayHome
 #COVIDIOTS"|2021-01-10 23:15:09
"@drninashapiro Twenty thousand  a day are contracting #Covid19 just in Los Angeles County.
Death is at your front door  Don't let Him in.

#WearAMask 
#StayHome

""Because I could not stop for Death--
He kindly stopped for me...""  E.D."|2021-01-10 23:12:39
"Day #365 of the #Pandemic:  2020 was the deadliest year in American history.

https://t.co/kxDOfv5Mm1

#Corona #Covid19 #coronavirus #WearAMask
 #StayHome
 #COVIDIOTS"|2021-01-10 23:11:36
INTO THE LIGHT https://t.co/8ErTXHyrYA #MISIA #ライヴ動画 #YouTube #StayHome|2021-01-10 23:11:25
Lads what are you at? #StayHome #lockdown4 https://t.co/bCtHOASUNT|2021-01-10 23:11:18
"💙 This is why paramedics are total #NHSheroes 
My son joins the West Midlands Ambulance team out on the road tomorrow. 💙#StayHome https://t.co/49mZbNYXMD"|2021-01-10 23:08:33
"@ltgrusselhonore @MSNBC @CNN @NPR Thank you &amp; respect, sir ! Silence is never an option when faced with this crisis! Thank you !
#WearAMask @SocialDistance #WashYourHands #StayHome if possible !"|2021-01-10 23:08:26
"Since Tier 5 in place and the high  infection rate in the capital, we've adapted our services so we can safely continue to support young people facing homelessness.
#staysafe #stayhome #faynuushopecommunity https://t.co/bnu5uUOQFN"|2021-01-10 23:07:03
"Friend's across the District please take note!!
#StayHome 
#NHS💙
#RISER🙏 https://t.co/9tMik2yls6"|2021-01-10 23:05:01
When you realize you have an entire week off from work! #Staycation #StayHome https://t.co/FTZOJh0MPf|2021-01-10 23:03:54
@MyFaveBench BBC news website is saying it was a set up by anti-lockdown supporters but I wrote my post before I saw that. And if it’s not fake, it still makes me sad how all these little “work arounds” the little stretches of the rules, add up to make lockdown a waste of time #StayHome|2021-01-10 23:02:45
"#StayHome means 
STAY AT HOME!
#StayHomeSaveLives https://t.co/QeR7j6iafq"|2021-01-10 23:02:32
Dark days ahead.  #StayHome  #Covid19Ireland https://t.co/IGAiaJ2eZh|2021-01-10 23:02:14
"We have been treading water for 10 months and NOW there are turbulent waters ahead? 

Am I missing something in Ontario’s #COVID19 attempts?

#StayHome #COVID19Ontario https://t.co/bh1RKy5Wb7"|2021-01-10 23:01:34
Easy Lover Extended Dance Mix - Philip Bailey &amp; Phil Collins, 1987, CBS/Virgin. On YouTube: https://t.co/xDPFxkZfyP #Corona #Berlin👑 #ForaFutureDancefloor💃#FridaysForFuture #digitalTransformation #scienceforfuture #StayHome #COVID19de #BlackLivesMatter #SenKultEU #ClimateChange https://t.co/NzlJxglG0y|2021-01-10 23:00:32
"https://t.co/AB0SO8QFVj
Come join the Bigdog's Nightclub #Streamer #Twitch #Gaming #Gamers #Stayhome #Streaming #Stream #Gamer #smallstreamer #SmallStreamersConnect #SupportSmallStreams #SupportSmallStreamers 
#gaming #TwitchStreamer"|2021-01-10 23:00:16
"8000 new Covid cases on the island of Ireland today 
👉8 thousand 😳😩😫

#StayHome 
#StayHomeSaveLives https://t.co/fVy6DcSuvx"|2021-01-10 22:58:32
In the last few weeks I have spoken with many in my network about the COVID situation and the stress on our brilliant NHS....I have worked all of my career in the NHS and I have never known a time like this. #stayhome #protecttheNHS #SaveLives|2021-01-10 22:56:11
[🔴LIVE] on #Twitchtv https://t.co/yepBgAnUvL Drop by to see whats going on! #livestream #twitch #twitchaffiliate #artist #twitchstreamer #gaming #passion #twitchcommunity #twitchstream #live #games #art #creator #datarush #whodat #love #social #wearamask #stayhome #pandemic|2021-01-10 22:55:40
"If you go out, the chances of being in a room, shop or common area with an infectious person are high. The chances you are infectious are high. Assume you are infectious, even if you have no symptoms and no known contact. Just 80 people is like flipping a coin.
#StayHome"|2021-01-10 22:53:36
"Great... I’m not the only one then.
#Covid19UK #StayHome #StayHomeSaveLives https://t.co/a7iDI8ompF"|2021-01-10 22:52:40
"Time to relive my childhood.

#terrahawks #amazonprime #childhoodmemories #scifi #zelda #itv #stayhome #watchthis #babyAndysFavouriteShow @ Isleworth https://t.co/5JHTS9z1aT"|2021-01-10 22:52:10
@alcatelmobileuk This would be fab to help my Grandson #StayHome #CovidKindess #Giveawaytime|2021-01-10 22:51:32
These figures are the reality.  Nobody shud be going anywhere. Just #StayHome and #StaySafe https://t.co/09r9q12A8D|2021-01-10 22:51:31
#StayHome we need the few ICU beds we’ve left to cope with the influx... #COVID19 is rampant 😥😰 &amp; we’re ⁦@IrlNurses⁩ ⁦@INMO_IRL⁩ ⁦@siptuhealth⁩ ⁦@PNA_IRL⁩ getting creased..!! #CutUsSomeSlack ⁦@thejournal_ie⁩ ⁦ https://t.co/qBgsSSNtJg|2021-01-10 22:50:30
Even with the @FBI working on this as are hopefully other countries' authorities, if you live in the #USA, be wary of possible violence until the domestic terrorist network is dismantled &amp; Trump + his GOP accomplices behind bars. #Covid19 #PossibleViolence #StayHome https://t.co/awGQRJYw5p|2021-01-10 22:48:13
From Facebook #StayHome https://t.co/ftYEicrEiE|2021-01-10 22:47:49
